index,country,population,yearly_change,net_change,density,land_area,net_migration,fertility_rate,median_age,urban_population_%,world_share_%,net_migration_positive,net_change_positive,category
1,India,1428627663,0.008100000000000001,11454490,481,2973190,-486136,2.0,28.0,0.36,0.1776,False,True,Declining + Attracting
2,China,1425671352,-0.0002,-215985,152,9388211,-310220,1.2,39.0,0.65,0.1772,False,False,Declining + Losing
3,United States,339996563,0.005,1706706,37,9147420,999700,1.7,38.0,0.83,0.042300000000000004,True,True,Growing + Attracting
4,Indonesia,277534122,0.0074,2032783,153,1811570,-49997,2.1,30.0,0.59,0.0345,False,True,Declining + Attracting
5,Pakistan,240485658,0.019799999999999998,4660796,312,770880,-165988,3.3,21.0,0.35,0.029900000000000003,False,True,Declining + Attracting
6,Nigeria,223804632,0.0241,5263420,246,910770,-59996,5.1,17.0,0.54,0.0278,False,True,Declining + Attracting
7,Brazil,216422446,0.0052,1108948,26,8358140,6000,1.6,34.0,0.88,0.0269,True,True,Growing + Attracting
8,Bangladesh,172954319,0.0103,1767947,1329,130170,-309977,1.9,27.0,0.41,0.0215,False,True,Declining + Attracting
9,Russia,144444359,-0.0019,-268955,9,16376870,-136414,1.5,39.0,0.75,0.018000000000000002,False,False,Declining + Losing
10,Mexico,128455567,0.0075,951442,66,1943950,-50239,1.8,30.0,0.88,0.016,False,True,Declining + Attracting
11,Ethiopia,126527060,0.0255,3147136,127,1000000,-11999,4.0,19.0,0.22,0.015700000000000002,False,True,Declining + Attracting
12,Japan,123294513,-0.0053,-657179,338,364555,99994,1.3,49.0,0.94,0.015300000000000001,True,False,Growing + Losing
13,Philippines,117337368,0.0154,1778359,394,298170,-69996,2.7,25.0,0.47,0.0146,False,True,Declining + Attracting
14,Egypt,112716598,0.015600000000000001,1726495,113,995450,-29998,2.8,24.0,0.41,0.013999999999999999,False,True,Declining + Attracting
15,DR Congo,102262808,0.0329,3252596,45,2267050,-14999,6.1,16.0,0.46,0.0127,False,True,Declining + Attracting
16,Vietnam,98858950,0.0068000000000000005,672094,319,310070,-82700,1.9,33.0,0.4,0.0123,False,True,Declining + Attracting
17,Iran,89172767,0.006999999999999999,622197,55,1628550,-39998,1.7,33.0,0.74,0.0111,False,True,Declining + Attracting
18,Turkey,85816199,0.005600000000000001,474958,112,769630,-318067,1.9,32.0,0.77,0.010700000000000001,False,True,Declining + Attracting
19,Germany,83294633,-0.0009,-75210,239,348560,155751,1.5,45.0,0.77,0.0104,True,False,Growing + Losing
20,Thailand,71801279,0.0015,104249,141,510890,18999,1.3,40.0,0.52,0.0089,True,True,Growing + Attracting
21,United Kingdom,67736802,0.0034000000000000002,227866,280,241930,165790,1.6,40.0,0.85,0.0084,True,True,Growing + Attracting
22,Tanzania,67438106,0.0296,1940358,76,885800,-39997,4.6,17.0,0.38,0.0084,False,True,Declining + Attracting
23,France,64756584,0.002,129956,118,547557,67761,1.8,42.0,0.84,0.008,True,True,Growing + Attracting
24,South Africa,60414495,0.0087,520610,50,1213090,58496,2.3,28.0,0.69,0.0075,True,True,Growing + Attracting
25,Italy,58870762,-0.0028000000000000004,-166712,200,294140,58496,1.3,48.0,0.72,0.0073,True,False,Growing + Losing
26,Kenya,55100586,0.0199,1073099,97,569140,-10000,3.2,20.0,0.31,0.0068000000000000005,False,True,Declining + Attracting
27,Myanmar,54577997,0.0074,398691,84,653290,-34998,2.1,30.0,0.33,0.0068000000000000005,False,True,Declining + Attracting
28,Colombia,52085168,0.0040999999999999995,211144,47,1109500,-175051,1.7,32.0,0.81,0.006500000000000001,False,True,Declining + Attracting
29,South Korea,51784059,-0.0006,-31751,533,97230,29998,0.9,44.0,0.82,0.0064,True,False,Growing + Losing
30,Uganda,48582334,0.0282,1332749,243,199810,-126181,4.4,16.0,0.29,0.006,False,True,Declining + Attracting
31,Sudan,48109006,0.0263,1234802,27,1765048,-9999,4.3,19.0,0.35,0.006,False,True,Declining + Attracting
32,Spain,47519628,-0.0008,-39002,95,498800,39998,1.3,45.0,0.8,0.0059,True,False,Growing + Losing
33,Argentina,45773884,0.0058,263566,17,2736690,3718,1.9,32.0,0.94,0.005699999999999999,True,True,Growing + Attracting
34,Algeria,45606480,0.015700000000000002,703255,19,2381740,-9999,2.8,28.0,0.75,0.005699999999999999,False,True,Declining + Attracting
35,Iraq,45504560,0.0227,1008438,105,434320,-6000,3.4,20.0,0.71,0.005699999999999999,False,True,Declining + Attracting
36,Afghanistan,42239854,0.027000000000000003,1111083,65,652860,-65846,4.4,17.0,0.26,0.0053,False,True,Declining + Attracting
37,Poland,41026067,0.029300000000000003,1168922,134,306230,-910475,1.5,40.0,0.55,0.0051,False,True,Declining + Attracting
38,Canada,38781291,0.0085,326964,4,9093510,249746,1.5,41.0,0.81,0.0048,True,True,Growing + Attracting
39,Morocco,37840044,0.0102,382073,85,446300,-39998,2.3,29.0,0.66,0.004699999999999999,False,True,Declining + Attracting
40,Saudi Arabia,36947025,0.0148,538205,17,2149690,28998,2.4,31.0,0.83,0.0046,True,True,Growing + Attracting
41,Ukraine,36744634,-0.0745,-2957105,63,579320,1784718,1.3,45.0,0.82,0.0046,True,False,Growing + Losing
42,Angola,36684202,0.0308,1095215,29,1246700,-1000,5.1,16.0,0.68,0.0046,False,True,Declining + Attracting
43,Uzbekistan,35163944,0.0155,536292,83,425400,-19999,2.8,27.0,0.49,0.0044,False,True,Declining + Attracting
44,Yemen,34449825,0.022400000000000003,753211,65,527970,-29914,3.6,19.0,0.37,0.0043,False,True,Declining + Attracting
45,Peru,34352719,0.0089,303131,27,1280000,-61442,2.1,29.0,0.79,0.0043,False,True,Declining + Attracting
46,Malaysia,34308525,0.0109,370304,104,328550,48997,1.8,31.0,0.78,0.0043,True,True,Growing + Attracting
47,Ghana,34121985,0.019299999999999998,646115,150,227540,-9999,3.5,21.0,0.57,0.0042,False,True,Declining + Attracting
48,Mozambique,33897354,0.0281,927836,43,786380,-5000,4.5,17.0,0.4,0.0042,False,True,Declining + Attracting
49,Nepal,30896590,0.011399999999999999,349010,216,143350,-62012,2.0,24.0,0.22,0.0038,False,True,Declining + Attracting
50,Madagascar,30325732,0.0241,714018,52,581795,-1500,3.7,19.0,0.4,0.0038,False,True,Declining + Attracting
51,Côte d'Ivoire,28873034,0.0253,712492,91,318000,6000,4.3,18.0,0.52,0.0036,True,True,Growing + Attracting
52,Venezuela,28838499,0.019,536803,33,882050,321106,2.2,28.0,,0.0036,True,True,Growing + Attracting
53,Cameroon,28647293,0.0263,732757,61,472710,-4800,4.3,18.0,0.58,0.0036,False,True,Declining + Attracting
54,Niger,27202843,0.038,994866,21,1266700,1000,6.7,15.0,0.17,0.0034000000000000002,True,True,Growing + Attracting
55,Australia,26439111,0.01,261698,3,7682300,139991,1.6,38.0,0.86,0.0033,True,True,Growing + Attracting
56,North Korea,26160821,0.0034999999999999996,91405,217,120410,-2000,1.8,36.0,0.63,0.0033,False,True,Declining + Attracting
